marca_temporal,interes_en_doctorado,doctorado_de_interes,genero,edad,estado_estudios,estado_residencia,area_maestria,maestria_estudiada,universidad_estudios_maestria,situacion_laboral,motivacion_en_doctorado,tiempo_inicio_doctorado
2024-04-04 20:10:04.987,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Durango,Coahuila,Agronómica,Maestría en Ciencias en Recursos Naturales y Medio Ambiente en Zonas Áridas ,Universidad Autónoma Chapingo ,Solo estudia,Investigación,En 1 año
2024-04-05 07:37:28.608,No,No,Masculino,26 a 30,Durango ,Estado de México ,Agronómica,Maestría en Ciencias en Recursos Naturales y Medio Ambiente en Zonas Áridas ,Universidad Autónoma Chapingo ,Trabaja y estudia,Sector privado,Indefinido
2024-04-05 13:53:43.203,No,No,Masculino,26 a 30,Nuevo León,Nuevo León,Agronómica,"Maestría en Conservación, Fauna Silvestre y Sustentabilidad",Universidad Autónoma de Nuevo León,Trabaja como docente,Investigación,En 2 años
2024-04-05 14:06:35.338,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,21 a 25,Nuevo León,Nuevo León,Agronómica,"Maestría en Conservación, Fauna Silvestre y Sustentabilidad",Universidad Autónoma de Nuevo León,Trabaja y estudia,Docencia,En 2 años
2024-04-05 14:19:52.811,Si,Desarrollo del Paisaje Rural,Masculino,26 a 30,San Luis Potosí,Coahuila,Agronómica,Maestría en Ciencias en Innovación en Manejo de Recursos Naturales ,Colegio de Postgraduados Campus SLP,Trabaja como docente,Investigación,En 1 año
2024-04-05 14:27:57.310,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,San Luis Potosí ,San Luis Potosí ,Agronómica,Maestría en Ciencias en Innovación en Manejo de Recursos Naturales ,Colegio de Postgraduados Campus SLP,Solo estudia,Docencia,En 2 años
2024-04-05 14:28:54.183,No,No,Femenino,26 a 30,Nuevo León,Nuevo León ,Agronómica,"Maestría en Conservación, Fauna Silvestre y Sustentabilidad",Universidad Autónoma de Nuevo León,Trabaja y estudia,Investigación,En 1 año
2024-04-05 14:37:39.729,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Nuevo León ,Nuevo León ,Agronómica,"Maestría en Conservación, Fauna Silvestre y Sustentabilidad",Universidad Autónoma de Nuevo León ,Trabaja como empleado,Aplicación en campo,En 1 año
2024-04-05 14:50:51.817,Si,Paisaje y Turismo Rural,Femenino,26 a 30,Nuevo León ,Nuevo León ,Agronómica,"Maestría en Conservación, Fauna Silvestre y Sustentabilidad",Universidad Autónoma de Nuevo León,Negocio propio,Investigación,En 1 año
2024-04-05 16:52:55.267,Si,Paisaje y Turismo Rural,Masculino,26 a 30,Nuevo León,Nuevo León,Agronómica,"Maestria en Conservacion, Fauna Silvestre y Sustentabilidad ",Universidad Autónoma de Nuevo León,Trabaja y estudia,Investigación,En 1 año
2024-04-05 16:57:32.303,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,31 a 35,San Luis Potosí,Guanajuato,Agronómica,Maestría en Ciencias en Innovación en Manejo de Recursos Naturales ,Colegio de Postgraduados Campus SLP,Trabaja como docente,Docencia,En 1 año
2024-04-05 17:26:40.207,Si,Paisaje y Turismo Rural,Masculino,26 a 30,Nuevo León,Nuevo León,Agronómica,"Maestría en Conservación, Fauna Silvestre y Sustentabilidad",Universidad Autónoma de Nuevo León,Solo estudia,Investigación,En 3 años
2024-04-05 17:46:01.530,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,21 a 25,Nuevo León,Nuevo León,Agronómica,"Maestría en Conservación, Fauna Silvestre y Sustentabilidad",Universidad Autónoma de Nuevo León,Solo estudia,Investigación,En 1 año
2024-04-05 19:04:00.098,Si,Desarrollo del Paisaje Rural,Masculino,26 a 30,Nuevo León,Nuevo León,Agronómica,"Maestría en Conservación, Fauna Silvestre y Sustentabilidad",Universidad Autónoma de Nuevo León,Solo estudia,Investigación,En 1 año
2024-04-06 20:00:57.419,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,31 a 35,Estado de México,Durango,Agronómica,Maestría en Ciencias Forestales,Colegio de Postgraduados Campus Montecillo,Solo estudia,Investigación,En 1 año
2024-04-07 18:13:07.312,Si,Paisaje y Turismo Rural,Masculino,21 a 25,Nuevo León,Nuevo León,Agronómica,"Maestría en Conservación, Fauna Silvestre y Sustentabilidad",Universidad Autónoma de Nuevo León,Trabaja y estudia,Docencia,En 1 año
2024-04-08 08:58:56.311,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,26 a 30,Nuevo León,Nuevo León,Agronómica,"Maestría en Conservación, Fauna Silvestre y Sustentabilidad",Universidad Autónoma de Nuevo León,Trabaja y estudia,Aplicación en campo,En 2 años
2024-04-08 18:49:24.134,Si,Desarrollo rural,Masculino,26 a 30,Tlaxcala,Tlaxcala,Social,Maestría en Desarrollo Regional,"El Colegio de Tlaxcala, A.C.",Trabaja como docente,Investigación,En 1 año
2024-04-08 19:14:02.530,Si,Desarrollo rural,Femenino,26 a 30,Tlaxcala ,Tlaxcala ,Social,Maestría en Desarrollo Regional,"El Colegio de Tlaxcala, A.C.",Solo estudia,Docencia,En 1 año
2024-04-08 19:14:06.645,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Tlaxcala ,Tlaxcala ,Social,Maestría en Desarrollo Regional,"El Colegio de Tlaxcala, A.C.",Solo estudia,Aplicación en campo,En 1 año
2024-04-08 19:44:23.545,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,46 a 50,Tlaxcala,Tlaxcala,Social,Maestría en Desarrollo Regional,"El Colegio de Tlaxcala, A.C.",Trabaja y estudia,Investigación,En 3 años
